MAMMALIA – СИСАРИ,,,,
"",Carduelis carduelis,Чешљугар,1-II
"",Carduelis chloris,Зелентарка,1-II
"",Carduelis flammea,Брезова јуричица,1-II
"",Carduelis flavirostris,Планинска јуричица,1-II
"",Carduelis hornemanni,Поларна јуричица,1-II
"",Carduelis spinus,Чижак,1-II
"",Carpodacus erythrinus,Руменка,1-II
"",Coccothraustes coccothraustes,Батокљун,1-II
"",Fringilla coelebs,Зеба,1-III
"",Fringilla montifringilla,Северна зеба,1-III
"",Loxia curvirostra,Крстокљун,1-II
"",Pyrrhula pyrrhula,Зимовка,1-III
"",Serinus serinus,Жутарица,1-II
"Hirundinidae(ласте)",Delichon urbicum,Градска ласта,1-II
"",Hirundo daurica,Даурска ласта,1-II
"",Hirundo rustica,Сеоска ласта,1-II
"",Hirundo rupestris,Горска ласта,1-II
"",Riparia riparia,Брегуница,1-II
"Laniidae(сврачци)",Lanius collurio,Руси сврачак,1-II; 5-I
"",Lanius excubitor,Велики сврачак,1-II
"",Lanius minor,Сиви сврачак,1-II; 5-I
"",Lanius nubicus,Дугорепи сврачак,"1-II, Рез  6 нова; 5-I"
"",Lanius senator,Риђоглави сврачак,1-II
"Motacillidae(плиске)",Anthus camprestris,Степска трептељка,1-II; 5-I
Anthus cervinus,Риђогрла трептељка,1-II,
Anthus pratensis,Ливадска трептељка,1-II,
Anthus spinoletta,Планинска трептељка,1-II,
Anthus trivialis,Шумска трептељка,1-II,
Motacilla alba,Бела плиска,1-II,
Motacilla cinerea,Поточна плиска,1-II,
Motacilla flava,Жута плиска,,
"Muscicapidae(мухарице)",Ficedula albicollis,Беловрата мухарица,1-II; 2-II; 5-I
"",Ficedula hypoleuca,Црноврата мухарица,1-II; 2-II
"",Ficedula parva,Мала мухарица,1-II; 2-II; 5-I
"",Ficedula semitorquata,Источна шарена мухарица,1-II; 2-II; 5-I
"",Muscicapa striata,Сива мухарица,1-II; 2-II
"Oriolidae(вуге)",Oriolus oriolus,Вуга,1-II
"Paridae(сенице)",Aegithalos caudatus,Дугорепа сеница,1-II
"",Parus ater,Јелова сеница,1-II
"",Parus caeruleus,Плава сеница,1-II
"",Parus cristatus,Ћубаста сеница,1-II
"",Parus lugubris,Сеница шљиварка,1-II
"",Parus major,Велика сеница,1-II
"",Parus montanus,Планинска сива сеница,1-II
"",Parus palustris,Сива сеница,1-II
"Passeridae(врапци)",Montifringilla nivalis,Планински врабац,1-II
"",Passer hispaniiolensis,Шпански врабац,1-III
"",Petronia petronia,Врабац камењарац,1-II
"Prunellidae(попићи)",Prunella collaris,Планински попић,1-II
"",Prunella modularis,Обични попић,1-II
"Remizidae(сенице вуге)",Remiz pendulinus,Сеница вуга,1-II
"Sittidae(бргљези)",Sitta europaea,Бргљез,1-II
"",Sitta neumayer,Бргљез лончар,1-II
"Sturnidae(чворци)",Sturnus roseus,Ружичасти чворак,1-II
"Sylviidae(грмуше)",Acrocephalus arundinaceus,Велики трстењак,1-II; 2-II
"",Acrocephalus palustris,Трстењак млакар,1-II; 2-II
"",Acrocephalus schoenobaenus,Трстењак рогожар,1-II; 2-II
"",Aerocephalus melanopogon,Шеварски трстењак,1-II; 2-II; 5-I
"",Aerocephalus paludicola,Источни трстењак,"1-II; 2-I,II; 5-I"
"",Aerocephalus scirpaceus,Трстењак цвркутић,1-II; 2-II
"",Cettia cetti,Свилорепи цврчић,1-II; 2-II
"",Cisticola juncidis,Шивачица,1-II; 2-II
"",Hippolais icterina,Жути вољић,1-II; 2-II
"",Hippolais olivetorum,Вољић маслинар,1-II; 2-II; 5-I
"",Hippolais pallida,Сиви вољић,1-II; 2-II
"",Locustella fluviatilis,Цврчић поточар,1-II; 2-II
"",Locustella luscinioidaes,Обични цврчић,1-II; 2-II
"",Locustella naevia,Цврчић тршчар,1-II; 2-II
"",Phylloscopus collybita,Обични звиждак,1-II; 2-II
"",Phylloscopus sibilatrix,Шумски звиждак,1-II; 2-II
"",Phylloscopus trochilus,Брезов звиждак,1-II; 2-II
"",Phyllosscopus bonelli,Горски звиждак,1-II; 2-II
"",Regulus ignicapillus,Ватроглави краљић,1-II; 2-II
"",Regulus regulus,Краљић,1-II; 2-II
"",Sylvia atricapilla,Црноглава грмуша,1-II; 2-II
"",Sylvia borin,Сива грмуша,1-II; 2-II
"",Sylvia cantillans,Грмуша црвеновољка,1-II; 2-II
"",Sylvia communis,Обична грмуша,1-II; 2-II
"",Sylvia curruca,Грмуша чаврљанка,1-II; 2-II
"",Sylvia hortensis,Велика грмуша,1-II; 2-II
"",Sylvia melanocephala,Средоземна црноглава грмуша,1-II; 2-II
"",Sylvia nisoria,Пиргаста грмуша,1-II; 2-II; 5-I
"Tichodromadidae(пузавци)",Tichodroma muraria,Пузгавац,1-II
"Timalidae(бркате сенице)",Panurus biarmicus,Брката сеница,1-II
Erithacus rubecula,Црвендаћ,1-II; 2-II,
Luscinia luscinia,Велики славуј,1-II; 2-II,
Luscinia megarhynchos,Мали славуј,1-II; 2-II,
Luscinia svecica,Модровољка,1-II; 2-II; 5-I,
Monticola saxatilis,Кос камењар,1-II; 2-II,
Monticola solitarius,Модрокос,1-II; 2-II,
Oenanthe hispanica,Средоземна белогуза,1-II; 2-II,
Oenanthe oenanthe,Обична белогуза,,
"",Phoenicurus ochruros,Црна црвенрепка,1-II; 2-II,
"",Phoenicurus phoenicurus,Обична црвенрепка,1-II; 2-II,
"",Saxicola rubetra,Обична траварка,1-II; 2-II,
"",Saxicola torquatus,Црноглава траварка,1-II; 2-II,
"",Troglodytes troglodytes,Царић,1-II,
"",Turdus iliacus,Мали дрозд,"1-III; 2-II;5-II/Б",
"",Turdus merula,Кос,1-III; 2-II; 5-II/Б,
"",Turdus philomelos,Дрозд певач,"1-III; 2-II;5-II/Б",
"",Turdus pilaris,Дрозд боровњак,"1-III; 2-II;5-II/Б",
"",Turdus torquatus,Кос огрличар,1-II; 2-II,
"",Turdus viscivorus,Дрозд имелаш,"1-III; 2-II;5-II/Б",
"PELECANIFORMES(НЕСИТИ И ВРАНЦИ)","Phalacrocoracidae(вранци)",Microcarbo pygmaeus,Мали вранац,1-II; 2-II; 5-I
"","Pelecanidae(несити)",Pelecanus crispus,Кудрави несит,"1-II; 2-I,II; 3-I; 5-I"
"",Pelecanus onocrotalus,Ружичасти несит,"1-II; 2-I,II; 5-I",
"PICIFORMES(ДЕТЛИЋИ)","Picidae(детлићи)",Dendrocopos leucotos,Планински детлић,1-II; 5-I
"",Dendrocopos major,Велики детлић,1-II,
"",Leiopicus medius,Средњи детлић,1-II; 5-I,
"",Dryobates minor,Мали детлић,1-II,
"",Dendrocopos syriacus,Сеоски детлић,1-II; 5-I,
"",Dryocopus martius,Црна жуна,1-II; 5-I,
"",Jynx torquilla,Вијоглава,1-II,
"",Picoides tridactylus,Тропрсти детлић,1-II; 5-I,
"",Picus canus,Сива жуна,1-II; 5-I,
